bandnumber,species,sex,wing,weight,hallux,tail,maturity
1142-09240,Sharp-shinned,M,166.0,120.0,11.7,133,
1142-09241,Sharp-shinned,M,170.0,110.0,121.0,135,
1142-09242,Sharp-shinned,M,165.0,95.0,11.6,131,Infant
1142-18229,Sharp-shinned,M,161.0,95.0,11.3,135,Infant
1142-19209,Sharp-shinned,M,165.0,96.0,11.4,125,
1142-19210,Sharp-shinned,M,163.0,100.0,11.6,128,Infant
1142-19211,Sharp-shinned,M,163.0,100.0,11.3,131,Infant
1142-19212,Sharp-shinned,F,165.0,95.0,11.2,136,Infant
1142-19213,Sharp-shinned,M,163.0,125.0,10.9,135,Infant
1142-19214,Sharp-shinned,M,167.0,100.0,11.3,132,
1142-19215,Sharp-shinned,M,162.0,110.0,11.8,130,
1142-19227,Sharp-shinned,M,175.0,107.0,11.4,137,
1142-19228,Sharp-shinned,M,169.0,95.0,11.85,132,Infant
1142-19230,Sharp-shinned,M,161.0,90.0,11.1,130,Infant
1142-19231,Sharp-shinned,M,162.0,85.0,11.4,132,Infant
1142-19232,Sharp-shinned,M,163.0,90.0,11.5,123,Infant
1142-19233,Sharp-shinned,M,170.0,100.0,12.2,132,
1142-19234,Sharp-shinned,M,165.0,105.0,11.8,127,
1142-19235,Sharp-shinned,M,155.0,100.0,11.8,122,
1142-19236,Sharp-shinned,M,161.0,105.0,12.0,124,
1142-19237,Sharp-shinned,M,169.0,100.0,11.7,133,
1142-19238,Sharp-shinned,M,164.0,90.0,10.7,127,Infant
1142-19239,Sharp-shinned,M,165.0,95.0,11.4,127,
1142-19243,Sharp-shinned,M,165.0,100.0,12.1,137,Infant
1142-19244,Sharp-shinned,M,164.0,95.0,130.0,136,Infant
1142-19245,Sharp-shinned,M,161.0,100.0,11.9,129,Infant
1142-19246,Sharp-shinned,M,167.0,115.0,11.4,131,Infant
1142-19247,Sharp-shinned,M,164.0,105.0,11.2,132,Infant
1142-19248,Sharp-shinned,M,162.0,95.0,11.0,119,
1142-19249,Sharp-shinned,M,165.0,95.0,11.0,130,Infant
1142-19250,Sharp-shinned,M,161.0,95.0,11.0,124,
1142-19251,Sharp-shinned,M,161.0,110.0,11.8,130,Infant
1142-19252,Sharp-shinned,M,165.0,105.0,11.2,140,Infant
1142-19253,Sharp-shinned,M,171.0,95.0,11.7,138,Infant
1142-19254,Sharp-shinned,M,169.0,105.0,11.8,136,
