bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex,island,body_mass_kg,species
,18.7,181.0,3750.0,Male,Torgersen,3.75,Adelie
39.5,17.4,186.0,3800.0,Female,Torgersen,3.8,Adelie
40.3,18.0,195.0,3250.0,Female,Torgersen,3.25,Adelie
36.7,19.3,193.0,3450.0,Female,Torgersen,3.45,Adelie
39.3,20.6,190.0,3650.0,Male,Torgersen,3.65,Adelie
38.9,17.8,181.0,3625.0,Female,nan,3.625,Adelie
39.2,19.6,195.0,4675.0,Male,Torgersen,4.675,Adelie
41.1,17.6,182.0,3200.0,Female,Torgersen,3.2,Adelie
38.6,21.2,,3800.0,Male,Torgersen,3.8,Adelie
34.6,21.1,198.0,4400.0,Male,Torgersen,4.4,Adelie
36.6,17.8,,3700.0,Female,Torgersen,3.7,Adelie
38.7,19.0,195.0,3450.0,Female,Torgersen,3.45,Adelie
42.5,20.7,197.0,,Male,Torgersen,,Adelie
34.4,18.4,184.0,3325.0,Female,Torgersen,3.325,Adelie
46.0,21.5,194.0,4200.0,Male,Torgersen,4.2,Adelie
37.8,18.3,174.0,3400.0,Female,Biscoe,3.4,Adelie
37.7,18.7,180.0,3600.0,Male,Biscoe,3.6,Adelie
35.9,19.2,,3800.0,Female,Biscoe,3.8,Adelie
38.2,18.1,185.0,3950.0,Male,Biscoe,3.95,Adelie
38.8,17.2,180.0,,Male,Biscoe,,Adelie
35.3,18.9,187.0,3800.0,Female,Biscoe,3.8,Adelie
,18.6,183.0,3550.0,nan,Biscoe,3.55,Adelie
40.5,17.9,187.0,3200.0,Female,Biscoe,3.2,Adelie
37.9,18.6,172.0,3150.0,Female,Biscoe,3.15,Adelie
40.5,18.9,180.0,3950.0,Male,Biscoe,3.95,Adelie
39.5,16.7,178.0,3250.0,Female,Dream,3.25,Adelie
37.2,18.1,178.0,3900.0,Male,Dream,3.9,Adelie
39.5,17.8,188.0,3300.0,Female,Dream,3.3,Adelie
40.9,18.9,184.0,3900.0,Male,Dream,3.9,Adelie
